id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
1xkOg49ZxldiM1ioIudwUS,Turn This Mutha Out,Could Heaven Ever Be Like This,Idris Muhammad,False,57,0.755,0.842,2,-7.293,0,0.129,0.388,0.541,0.105,0.798,123.203,audio_features,spotify:track:1xkOg49ZxldiM1ioIudwUS,https://api.spotify.com/v1/tracks/1xkOg49ZxldiM1ioIudwUS,https://api.spotify.com/v1/audio-analysis/1xkOg49ZxldiM1ioIudwUS,8.609783333333333,4
5le4sn0iMcnKU56bdmNzso,Everybody Loves The Sunshine (Reissue),Everybody Loves The Sunshine,Roy Ayers Ubiquity,False,66,0.52,0.571,11,-10.326,0,0.036,0.168,5.14e-06,0.17,0.701,161.051,audio_features,spotify:track:5le4sn0iMcnKU56bdmNzso,https://api.spotify.com/v1/tracks/5le4sn0iMcnKU56bdmNzso,https://api.spotify.com/v1/audio-analysis/5le4sn0iMcnKU56bdmNzso,3.99445,3
7yzM0pEseQUpb6BMViOPEA,Eastern Sounds,Love Theme From Spartacus - Remastered,Yusef Lateef,False,55,0.522,0.379,4,-14.096,0,0.0286,0.635,0.925,0.114,0.454,133.698,audio_features,spotify:track:7yzM0pEseQUpb6BMViOPEA,https://api.spotify.com/v1/tracks/7yzM0pEseQUpb6BMViOPEA,https://api.spotify.com/v1/audio-analysis/7yzM0pEseQUpb6BMViOPEA,4.193333333333333,3
6CAYXIhkBARYmy7kVNDIOi,Hard Groove,I'll Stay,"The RH Factor, D'Angelo",False,50,0.632,0.276,4,-13.697,0,0.0594,0.632,0.293,0.157,0.237,129.693,audio_features,spotify:track:6CAYXIhkBARYmy7kVNDIOi,https://api.spotify.com/v1/tracks/6CAYXIhkBARYmy7kVNDIOi,https://api.spotify.com/v1/audio-analysis/6CAYXIhkBARYmy7kVNDIOi,7.84245,4
4DtKuPPoHYH5fKsAXBa8Zm,It'll All Be Over,It'll All Be Over,Supreme Jubilees,False,33,0.684,0.209,4,-15.314,0,0.0326,0.896,0.0145,0.114,0.413,82.274,audio_features,spotify:track:4DtKuPPoHYH5fKsAXBa8Zm,https://api.spotify.com/v1/tracks/4DtKuPPoHYH5fKsAXBa8Zm,https://api.spotify.com/v1/audio-analysis/4DtKuPPoHYH5fKsAXBa8Zm,3.0913333333333335,4
0Dv2dILPDIqPjCqGbW9WTN,New York - Addis - London: The Story of Ethio Jazz 1965-1975,Tezeta,Mulatu Astatke,False,6,0.551,0.254,10,-14.48,1,0.0415,0.962,0.933,0.0994,0.54,81.053,audio_features,spotify:track:0Dv2dILPDIqPjCqGbW9WTN,https://api.spotify.com/v1/tracks/0Dv2dILPDIqPjCqGbW9WTN,https://api.spotify.com/v1/audio-analysis/0Dv2dILPDIqPjCqGbW9WTN,6.142316666666667,3
0xQlC8tI2hBeOs2TKOkM1G,Legenden des Soul - Isaac Hayes,Hung Up On My Baby,Isaac Hayes,False,36,0.649,0.753,11,-7.539,0,0.0306,0.139,0.858,0.0512,0.84,102.147,audio_features,spotify:track:0xQlC8tI2hBeOs2TKOkM1G,https://api.spotify.com/v1/tracks/0xQlC8tI2hBeOs2TKOkM1G,https://api.spotify.com/v1/audio-analysis/0xQlC8tI2hBeOs2TKOkM1G,6.2911166666666665,4
0QpuGyBmHtTr5W1TZiKlvt,The Singles,She Brings the Rain,CAN,False,30,0.501,0.156,5,-12.603,1,0.0366,0.802,0.00266,0.0972,0.0671,104.562,audio_features,spotify:track:0QpuGyBmHtTr5W1TZiKlvt,https://api.spotify.com/v1/tracks/0QpuGyBmHtTr5W1TZiKlvt,https://api.spotify.com/v1/audio-analysis/0QpuGyBmHtTr5W1TZiKlvt,4.12735,4
4EFKlh6CyG0ZZza2QgriUM,Lucid,Good Thing,Aṣa,False,33,0.652,0.685,9,-7.804,0,0.0281,0.194,0.00234,0.116,0.451,93.984,audio_features,spotify:track:4EFKlh6CyG0ZZza2QgriUM,https://api.spotify.com/v1/tracks/4EFKlh6CyG0ZZza2QgriUM,https://api.spotify.com/v1/audio-analysis/4EFKlh6CyG0ZZza2QgriUM,2.8322166666666666,4
25SJaCCPiosugnlY53VhRG,2,Freaking Out the Neighborhood,Mac DeMarco,False,57,0.565,0.832,8,-5.751,0,0.108,0.0639,0.0291,0.386,0.847,143.302,audio_features,spotify:track:25SJaCCPiosugnlY53VhRG,https://api.spotify.com/v1/tracks/25SJaCCPiosugnlY53VhRG,https://api.spotify.com/v1/audio-analysis/25SJaCCPiosugnlY53VhRG,2.89815,4
6g5qyQrAcoBX4X7XjxBoTO,Comment te dire adieu (Remasterisé en 2016),Comment te dire adieu - Remasterisé en 2016,Françoise Hardy,False,60,0.711,0.586,10,-9.78,0,0.0514,0.435,6.48e-06,0.15,0.931,124.058,audio_features,spotify:track:6g5qyQrAcoBX4X7XjxBoTO,https://api.spotify.com/v1/tracks/6g5qyQrAcoBX4X7XjxBoTO,https://api.spotify.com/v1/audio-analysis/6g5qyQrAcoBX4X7XjxBoTO,2.4751166666666666,4
6Baw9w5T0i6hvZBagZxvhK,Small Crimes EP,Keep On Calling,Nilüfer Yanya,False,48,0.762,0.552,6,-7.211,0,0.0331,0.728,0.000618,0.0844,0.1,123.077,audio_features,spotify:track:6Baw9w5T0i6hvZBagZxvhK,https://api.spotify.com/v1/tracks/6Baw9w5T0i6hvZBagZxvhK,https://api.spotify.com/v1/audio-analysis/6Baw9w5T0i6hvZBagZxvhK,3.8385,4
2vLaES21zwbX1Rnmj56Bbb,Spinners,I'll Be Around,The Spinners,False,63,0.593,0.791,8,-8.698,0,0.068,0.175,0.0,0.0976,0.63,112.295,audio_features,spotify:track:2vLaES21zwbX1Rnmj56Bbb,https://api.spotify.com/v1/tracks/2vLaES21zwbX1Rnmj56Bbb,https://api.spotify.com/v1/audio-analysis/2vLaES21zwbX1Rnmj56Bbb,3.1466666666666665,4
6MBS3ARYYlI4FtYjaTinK5,Rhymes & Reasons,Bitter with the Sweet,Carole King,False,54,0.68,0.426,0,-13.683,0,0.0652,0.756,0.000148,0.11,0.661,99.078,audio_features,spotify:track:6MBS3ARYYlI4FtYjaTinK5,https://api.spotify.com/v1/tracks/6MBS3ARYYlI4FtYjaTinK5,https://api.spotify.com/v1/audio-analysis/6MBS3ARYYlI4FtYjaTinK5,2.4577833333333334,4
